# mediapipe_transformer training start  epochs=200 batch=32
[mediapipe_transformer] epoch 056/200  train_loss=1.4553 train_acc=0.424  val_loss=3.4427 val_acc=0.336
[mediapipe_transformer] epoch 057/200  train_loss=1.5837 train_acc=0.406  val_loss=3.2429 val_acc=0.364
[mediapipe_transformer] epoch 058/200  train_loss=1.4375 train_acc=0.483  val_loss=3.2759 val_acc=0.355
[mediapipe_transformer] epoch 059/200  train_loss=1.4429 train_acc=0.450  val_loss=3.4522 val_acc=0.411
[mediapipe_transformer] epoch 060/200  train_loss=1.3101 train_acc=0.506  val_loss=3.4745 val_acc=0.383
[mediapipe_transformer] epoch 061/200  train_loss=1.3591 train_acc=0.490  val_loss=3.5205 val_acc=0.374
[mediapipe_transformer] epoch 062/200  train_loss=1.3903 train_acc=0.480  val_loss=3.5003 val_acc=0.393
[mediapipe_transformer] epoch 063/200  train_loss=1.2722 train_acc=0.522  val_loss=3.3996 val_acc=0.430
[mediapipe_transformer] epoch 064/200  train_loss=1.2074 train_acc=0.508  val_loss=3.3036 val_acc=0.467
[mediapipe_transformer] epoch 065/200  train_loss=1.1923 train_acc=0.543  val_loss=3.3581 val_acc=0.336
[mediapipe_transformer] epoch 066/200  train_loss=1.2337 train_acc=0.494  val_loss=3.4202 val_acc=0.449
[mediapipe_transformer] epoch 067/200  train_loss=1.1927 train_acc=0.515  val_loss=3.7209 val_acc=0.364
[mediapipe_transformer] epoch 068/200  train_loss=1.1057 train_acc=0.545  val_loss=3.5938 val_acc=0.346
[mediapipe_transformer] epoch 069/200  train_loss=1.2140 train_acc=0.515  val_loss=3.3920 val_acc=0.477
[mediapipe_transformer] epoch 070/200  train_loss=1.1130 train_acc=0.562  val_loss=3.2923 val_acc=0.402
[mediapipe_transformer] epoch 071/200  train_loss=1.0123 train_acc=0.576  val_loss=3.5305 val_acc=0.355
[mediapipe_transformer] epoch 072/200  train_loss=1.0294 train_acc=0.587  val_loss=3.5596 val_acc=0.477
[mediapipe_transformer] epoch 073/200  train_loss=1.1229 train_acc=0.569  val_loss=3.5923 val_acc=0.402
[mediapipe_transformer] epoch 074/200  train_loss=1.1136 train_acc=0.522  val_loss=3.4105 val_acc=0.421
[mediapipe_transformer] epoch 075/200  train_loss=0.9695 train_acc=0.608  val_loss=3.5458 val_acc=0.411
[mediapipe_transformer] epoch 076/200  train_loss=1.0563 train_acc=0.557  val_loss=3.3270 val_acc=0.467
[mediapipe_transformer] epoch 077/200  train_loss=0.9544 train_acc=0.615  val_loss=3.7037 val_acc=0.458
[mediapipe_transformer] epoch 078/200  train_loss=0.9000 train_acc=0.662  val_loss=3.4714 val_acc=0.477
[mediapipe_transformer] epoch 079/200  train_loss=0.8764 train_acc=0.632  val_loss=3.8813 val_acc=0.449
[mediapipe_transformer] epoch 080/200  train_loss=0.8393 train_acc=0.650  val_loss=3.6934 val_acc=0.486
[mediapipe_transformer] epoch 081/200  train_loss=0.8895 train_acc=0.634  val_loss=3.7528 val_acc=0.430
[mediapipe_transformer] epoch 082/200  train_loss=0.9143 train_acc=0.627  val_loss=3.9099 val_acc=0.449
[mediapipe_transformer] epoch 083/200  train_loss=0.8323 train_acc=0.671  val_loss=3.7472 val_acc=0.411
[mediapipe_transformer] epoch 084/200  train_loss=0.8608 train_acc=0.660  val_loss=3.7589 val_acc=0.523
[mediapipe_transformer] epoch 085/200  train_loss=0.8918 train_acc=0.648  val_loss=3.8825 val_acc=0.430
[mediapipe_transformer] epoch 086/200  train_loss=0.8241 train_acc=0.676  val_loss=4.0830 val_acc=0.402
[mediapipe_transformer] epoch 087/200  train_loss=0.8312 train_acc=0.664  val_loss=3.7302 val_acc=0.449
[mediapipe_transformer] epoch 088/200  train_loss=0.7980 train_acc=0.676  val_loss=3.5986 val_acc=0.523
[mediapipe_transformer] epoch 089/200  train_loss=0.7043 train_acc=0.692  val_loss=3.6368 val_acc=0.430
[mediapipe_transformer] epoch 090/200  train_loss=0.7606 train_acc=0.695  val_loss=3.5958 val_acc=0.449
[mediapipe_transformer] epoch 091/200  train_loss=0.6545 train_acc=0.751  val_loss=3.6087 val_acc=0.439
[mediapipe_transformer] epoch 092/200  train_loss=0.7386 train_acc=0.674  val_loss=3.9186 val_acc=0.467
[mediapipe_transformer] epoch 093/200  train_loss=0.7115 train_acc=0.741  val_loss=3.4080 val_acc=0.495
[mediapipe_transformer] epoch 094/200  train_loss=0.6576 train_acc=0.734  val_loss=3.8243 val_acc=0.449
[mediapipe_transformer] epoch 095/200  train_loss=0.6505 train_acc=0.727  val_loss=3.4931 val_acc=0.411
[mediapipe_transformer] epoch 096/200  train_loss=0.6341 train_acc=0.751  val_loss=3.6265 val_acc=0.458
[mediapipe_transformer] epoch 097/200  train_loss=0.6501 train_acc=0.737  val_loss=3.3908 val_acc=0.439
[mediapipe_transformer] epoch 098/200  train_loss=0.5938 train_acc=0.744  val_loss=3.6442 val_acc=0.505
[mediapipe_transformer] epoch 099/200  train_loss=0.6328 train_acc=0.744  val_loss=3.8650 val_acc=0.421
[mediapipe_transformer] epoch 100/200  train_loss=0.6044 train_acc=0.781  val_loss=3.9305 val_acc=0.467
[mediapipe_transformer] epoch 101/200  train_loss=0.5774 train_acc=0.746  val_loss=3.7202 val_acc=0.449
[mediapipe_transformer] epoch 102/200  train_loss=0.5587 train_acc=0.776  val_loss=3.5166 val_acc=0.533
[mediapipe_transformer] epoch 103/200  train_loss=0.5489 train_acc=0.760  val_loss=3.6347 val_acc=0.561
[mediapipe_transformer] epoch 104/200  train_loss=0.4994 train_acc=0.809  val_loss=3.8528 val_acc=0.449
[mediapipe_transformer] epoch 105/200  train_loss=0.5166 train_acc=0.774  val_loss=3.8819 val_acc=0.467
[mediapipe_transformer] epoch 106/200  train_loss=0.5191 train_acc=0.769  val_loss=3.7903 val_acc=0.467
[mediapipe_transformer] epoch 107/200  train_loss=0.5693 train_acc=0.767  val_loss=3.9711 val_acc=0.458
[mediapipe_transformer] epoch 108/200  train_loss=0.5295 train_acc=0.772  val_loss=3.8130 val_acc=0.467
[mediapipe_transformer] epoch 109/200  train_loss=0.5007 train_acc=0.781  val_loss=3.8726 val_acc=0.505
[mediapipe_transformer] epoch 110/200  train_loss=0.4710 train_acc=0.804  val_loss=3.9746 val_acc=0.449
[mediapipe_transformer] epoch 111/200  train_loss=0.4993 train_acc=0.807  val_loss=3.7664 val_acc=0.467
[mediapipe_transformer] epoch 112/200  train_loss=0.4474 train_acc=0.832  val_loss=3.9444 val_acc=0.542
[mediapipe_transformer] epoch 113/200  train_loss=0.4659 train_acc=0.804  val_loss=3.9902 val_acc=0.477
[mediapipe_transformer] epoch 114/200  train_loss=0.4578 train_acc=0.821  val_loss=3.9877 val_acc=0.495
[mediapipe_transformer] epoch 115/200  train_loss=0.4455 train_acc=0.786  val_loss=3.8951 val_acc=0.505
[mediapipe_transformer] epoch 116/200  train_loss=0.4564 train_acc=0.832  val_loss=3.8804 val_acc=0.523
[mediapipe_transformer] epoch 117/200  train_loss=0.4229 train_acc=0.841  val_loss=4.0619 val_acc=0.495
[mediapipe_transformer] epoch 118/200  train_loss=0.4231 train_acc=0.821  val_loss=4.0106 val_acc=0.533
[mediapipe_transformer] epoch 119/200  train_loss=0.4128 train_acc=0.862  val_loss=3.7688 val_acc=0.551
[mediapipe_transformer] epoch 120/200  train_loss=0.4140 train_acc=0.853  val_loss=4.0153 val_acc=0.561
[mediapipe_transformer] epoch 121/200  train_loss=0.3814 train_acc=0.862  val_loss=3.7756 val_acc=0.533
[mediapipe_transformer] epoch 122/200  train_loss=0.3907 train_acc=0.841  val_loss=4.1922 val_acc=0.495
[mediapipe_transformer] epoch 123/200  train_loss=0.4021 train_acc=0.855  val_loss=4.4479 val_acc=0.402
[mediapipe_transformer] epoch 124/200  train_loss=0.3800 train_acc=0.853  val_loss=3.9862 val_acc=0.486
[mediapipe_transformer] epoch 125/200  train_loss=0.3638 train_acc=0.837  val_loss=4.0828 val_acc=0.449
[mediapipe_transformer] epoch 126/200  train_loss=0.3694 train_acc=0.851  val_loss=3.8490 val_acc=0.486
[mediapipe_transformer] epoch 127/200  train_loss=0.3715 train_acc=0.839  val_loss=4.1975 val_acc=0.495
[mediapipe_transformer] epoch 128/200  train_loss=0.3686 train_acc=0.862  val_loss=4.0236 val_acc=0.449
[mediapipe_transformer] epoch 129/200  train_loss=0.3391 train_acc=0.865  val_loss=4.1720 val_acc=0.514
[mediapipe_transformer] epoch 130/200  train_loss=0.3148 train_acc=0.897  val_loss=3.9567 val_acc=0.542
[mediapipe_transformer] epoch 131/200  train_loss=0.3406 train_acc=0.872  val_loss=3.8887 val_acc=0.542
[mediapipe_transformer] epoch 132/200  train_loss=0.3398 train_acc=0.872  val_loss=3.9641 val_acc=0.561
[mediapipe_transformer] epoch 133/200  train_loss=0.3350 train_acc=0.862  val_loss=3.9862 val_acc=0.523
[mediapipe_transformer] epoch 134/200  train_loss=0.3428 train_acc=0.858  val_loss=4.1524 val_acc=0.505
[mediapipe_transformer] epoch 135/200  train_loss=0.3139 train_acc=0.876  val_loss=4.0373 val_acc=0.542
[mediapipe_transformer] epoch 136/200  train_loss=0.3080 train_acc=0.890  val_loss=4.2355 val_acc=0.486
[mediapipe_transformer] epoch 137/200  train_loss=0.3100 train_acc=0.874  val_loss=4.0963 val_acc=0.505
[mediapipe_transformer] epoch 138/200  train_loss=0.3168 train_acc=0.888  val_loss=4.3459 val_acc=0.514
[mediapipe_transformer] epoch 139/200  train_loss=0.2708 train_acc=0.923  val_loss=4.1608 val_acc=0.514
[mediapipe_transformer] epoch 140/200  train_loss=0.2679 train_acc=0.911  val_loss=4.1405 val_acc=0.523
[mediapipe_transformer] epoch 141/200  train_loss=0.2829 train_acc=0.890  val_loss=4.1737 val_acc=0.533
[mediapipe_transformer] epoch 142/200  train_loss=0.2647 train_acc=0.893  val_loss=4.2363 val_acc=0.495
[mediapipe_transformer] epoch 143/200  train_loss=0.2583 train_acc=0.902  val_loss=4.2739 val_acc=0.523
[mediapipe_transformer] epoch 144/200  train_loss=0.2744 train_acc=0.904  val_loss=4.2451 val_acc=0.505
[mediapipe_transformer] epoch 145/200  train_loss=0.2440 train_acc=0.925  val_loss=4.1246 val_acc=0.505
[mediapipe_transformer] epoch 146/200  train_loss=0.2579 train_acc=0.916  val_loss=4.2691 val_acc=0.505
[mediapipe_transformer] epoch 147/200  train_loss=0.2363 train_acc=0.930  val_loss=4.2840 val_acc=0.579
[mediapipe_transformer] epoch 148/200  train_loss=0.2484 train_acc=0.909  val_loss=4.2810 val_acc=0.542
[mediapipe_transformer] epoch 149/200  train_loss=0.2661 train_acc=0.904  val_loss=4.2867 val_acc=0.505
[mediapipe_transformer] epoch 150/200  train_loss=0.2379 train_acc=0.911  val_loss=4.3398 val_acc=0.505
[mediapipe_transformer] epoch 151/200  train_loss=0.2248 train_acc=0.932  val_loss=4.2899 val_acc=0.514
[mediapipe_transformer] epoch 152/200  train_loss=0.2302 train_acc=0.911  val_loss=4.1580 val_acc=0.533
[mediapipe_transformer] epoch 153/200  train_loss=0.2226 train_acc=0.914  val_loss=4.3128 val_acc=0.505
[mediapipe_transformer] epoch 154/200  train_loss=0.2383 train_acc=0.923  val_loss=4.2549 val_acc=0.533
[mediapipe_transformer] epoch 155/200  train_loss=0.2288 train_acc=0.923  val_loss=4.4475 val_acc=0.523
[mediapipe_transformer] epoch 156/200  train_loss=0.2234 train_acc=0.897  val_loss=4.3597 val_acc=0.514
[mediapipe_transformer] epoch 157/200  train_loss=0.2285 train_acc=0.921  val_loss=4.3452 val_acc=0.523
[mediapipe_transformer] epoch 158/200  train_loss=0.2155 train_acc=0.935  val_loss=4.3366 val_acc=0.495
[mediapipe_transformer] epoch 159/200  train_loss=0.2406 train_acc=0.918  val_loss=4.3640 val_acc=0.505
[mediapipe_transformer] epoch 160/200  train_loss=0.2076 train_acc=0.904  val_loss=4.5293 val_acc=0.486
[mediapipe_transformer] epoch 161/200  train_loss=0.2258 train_acc=0.918  val_loss=4.4256 val_acc=0.533
[mediapipe_transformer] epoch 162/200  train_loss=0.1894 train_acc=0.946  val_loss=4.4945 val_acc=0.505
[mediapipe_transformer] epoch 163/200  train_loss=0.1906 train_acc=0.930  val_loss=4.4642 val_acc=0.523
[mediapipe_transformer] epoch 164/200  train_loss=0.1990 train_acc=0.937  val_loss=4.4529 val_acc=0.542
[mediapipe_transformer] epoch 165/200  train_loss=0.1928 train_acc=0.925  val_loss=4.3597 val_acc=0.551
[mediapipe_transformer] epoch 166/200  train_loss=0.1748 train_acc=0.944  val_loss=4.4277 val_acc=0.533
[mediapipe_transformer] epoch 167/200  train_loss=0.1769 train_acc=0.946  val_loss=4.5363 val_acc=0.523
[mediapipe_transformer] epoch 168/200  train_loss=0.1867 train_acc=0.939  val_loss=4.5072 val_acc=0.523
[mediapipe_transformer] epoch 169/200  train_loss=0.1789 train_acc=0.944  val_loss=4.4777 val_acc=0.533
[mediapipe_transformer] epoch 170/200  train_loss=0.1856 train_acc=0.932  val_loss=4.4962 val_acc=0.495
[mediapipe_transformer] epoch 171/200  train_loss=0.1835 train_acc=0.946  val_loss=4.4677 val_acc=0.514
[mediapipe_transformer] epoch 172/200  train_loss=0.1760 train_acc=0.946  val_loss=4.4120 val_acc=0.514
[mediapipe_transformer] epoch 173/200  train_loss=0.1634 train_acc=0.951  val_loss=4.4313 val_acc=0.505
[mediapipe_transformer] epoch 174/200  train_loss=0.1688 train_acc=0.939  val_loss=4.3705 val_acc=0.523
[mediapipe_transformer] epoch 175/200  train_loss=0.1699 train_acc=0.937  val_loss=4.4054 val_acc=0.514
[mediapipe_transformer] epoch 176/200  train_loss=0.1831 train_acc=0.953  val_loss=4.3719 val_acc=0.514
[mediapipe_transformer] epoch 177/200  train_loss=0.1735 train_acc=0.946  val_loss=4.3807 val_acc=0.514
[mediapipe_transformer] epoch 178/200  train_loss=0.1608 train_acc=0.953  val_loss=4.4212 val_acc=0.505
[mediapipe_transformer] epoch 179/200  train_loss=0.1801 train_acc=0.935  val_loss=4.3959 val_acc=0.514
[mediapipe_transformer] epoch 180/200  train_loss=0.1885 train_acc=0.942  val_loss=4.3654 val_acc=0.533
